"participant","trial_no","group","time","recalled","word","recall_acc","recall_rt","study_pos","test_pos","image","item_type","id","distraction","interval","prev_assoc","ltm_intru","resp_type","tran_dist"
"574ce0a57fd0ec000db73aa6",2,"older",4,"PRINCE","PRINCE",TRUE,1.68761,2,4,"windmill","new-new",1554,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",3,"older",1,"SHOTS","SHOTS",TRUE,2.15325,2,1,"scissors","new-new",1555,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",3,"older",2,"LIFE","LIFE",TRUE,7.619605,4,2,"razor","old-new",1555,"no","2 s","BEAUTY",0,"correct",NA
"574ce0a57fd0ec000db73aa6",3,"older",3,"LEADER","LEADER",TRUE,1.775155,1,3,"helmet","match",1555,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",3,"older",4,"CLIENT","CLIENT",TRUE,2.154555,3,4,"carrot","mis-match",1555,"no","2 s","ADVICE",0,"correct",NA
"574ce0a57fd0ec000db73aa6",4,"older",1,"NIGHT","NIGHT",TRUE,2.92278,4,1,"cap","new-new",1556,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",4,"older",2,"DEATH","DEATH",TRUE,2.38992,3,2,"suitcase","new-new",1556,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",4,"older",3,"WRITER","WRITER",TRUE,2.55829,2,3,"watch","new-new",1556,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",4,"older",4,"ROOF","ROOF",TRUE,1.60525,1,4,"planet","new-new",1556,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",5,"older",1,"APPLE","APPLE",TRUE,3.187135,2,1,"stool","old-new",1557,"no","2 s","AGENT",0,"correct",NA
"574ce0a57fd0ec000db73aa6",5,"older",2,"SAKE","SAKE",TRUE,1.876435,1,2,"ring","match",1557,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",5,"older",3,"CASINO","CASINO",TRUE,2.42435,3,3,"map","mis-match",1557,"no","2 s","PHOTO",0,"correct",NA
"574ce0a57fd0ec000db73aa6",5,"older",4,"SPEECH","SPEECH",TRUE,2.12308,4,4,"pear","new-new",1557,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",6,"older",1,"ESTATE","ESTATE",TRUE,2.768745,3,1,"dart","new-new",1558,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",6,"older",2,"HOUSE","HOUSE",TRUE,2.01793,4,2,"goose","new-new",1558,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",6,"older",3,"SALE","SALE",TRUE,1.438505,1,3,"kettle","new-new",1558,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",6,"older",4,"SYSTEM","SYSTEM",TRUE,1.22553,2,4,"peg","new-new",1558,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",7,"older",1,"BOYS","BOYS",TRUE,2.60404,2,1,"monkey","new-new",1559,"no","2 s",NA,NA,"correct",NA
"574ce0a57fd0ec000db73aa6",7,"older",2,"SPIRIT","SPIRIT",TRUE,2.421295,3,2,"tractor","new-new",1559,"no","2 s",NA,NA,"correct",NA
